location,scene
"KF Storms Grotto Grass 1","OOT_GROTTOS"
"KF Storms Grotto Grass 2","OOT_GROTTOS"
"KF Storms Grotto Grass 3","OOT_GROTTOS"
"KF Storms Grotto Grass 4","OOT_GROTTOS"
"KF Child Grass 1","OOT_KOKIRI_FOREST"
"KF Child Grass 2","OOT_KOKIRI_FOREST"
"KF Child Grass 3","OOT_KOKIRI_FOREST"
"KF Child Grass 4","OOT_KOKIRI_FOREST"
"KF Child Grass 5","OOT_KOKIRI_FOREST"
"KF Child Grass 6","OOT_KOKIRI_FOREST"
"KF Child Grass 7","OOT_KOKIRI_FOREST"
"KF Child Grass 8","OOT_KOKIRI_FOREST"
"KF Child Grass 9","OOT_KOKIRI_FOREST"
"KF Child Grass 10","OOT_KOKIRI_FOREST"
"KF Child Grass 11","OOT_KOKIRI_FOREST"
"KF Child Grass 12","OOT_KOKIRI_FOREST"
"KF Child Maze Grass 1","OOT_KOKIRI_FOREST"
"KF Child Maze Grass 2","OOT_KOKIRI_FOREST"
"KF Child Maze Grass 3","OOT_KOKIRI_FOREST"
"KF Adult Grass 1","OOT_KOKIRI_FOREST"
"KF Adult Grass 2","OOT_KOKIRI_FOREST"
"KF Adult Grass 3","OOT_KOKIRI_FOREST"
"KF Adult Grass 4","OOT_KOKIRI_FOREST"
"KF Adult Grass 5","OOT_KOKIRI_FOREST"
"KF Adult Grass 6","OOT_KOKIRI_FOREST"
"KF Adult Grass 7","OOT_KOKIRI_FOREST"
"KF Adult Grass 8","OOT_KOKIRI_FOREST"
"KF Adult Grass 9","OOT_KOKIRI_FOREST"
"KF Adult Grass 10","OOT_KOKIRI_FOREST"
"KF Adult Grass 11","OOT_KOKIRI_FOREST"
"KF Adult Grass 12","OOT_KOKIRI_FOREST"
"KF Adult Grass 13","OOT_KOKIRI_FOREST"
"KF Adult Grass 14","OOT_KOKIRI_FOREST"
"KF Adult Grass 15","OOT_KOKIRI_FOREST"
"KF Adult Grass 16","OOT_KOKIRI_FOREST"
"KF Adult Grass 17","OOT_KOKIRI_FOREST"
"KF Adult Grass 18","OOT_KOKIRI_FOREST"
"KF Adult Grass 19","OOT_KOKIRI_FOREST"
"KF Adult Grass 20","OOT_KOKIRI_FOREST"
"KF Deku Tree Gossip Stone (Left) Fairy Spawn","OOT_KOKIRI_FOREST"
"KF Deku Tree Gossip Stone (Left) Big Fairy Spawn","OOT_KOKIRI_FOREST"
"KF Deku Tree Gossip Stone (Right) Fairy Spawn","OOT_KOKIRI_FOREST"
"KF Deku Tree Gossip Stone (Right) Big Fairy Spawn","OOT_KOKIRI_FOREST"
"KF Gossip Stone Fairy Spawn","OOT_KOKIRI_FOREST"
"KF Gossip Stone Big Fairy Spawn","OOT_KOKIRI_FOREST"
"KF Storms Grotto Gossip Stone Fairy Spawn","OOT_GROTTOS"
"KF Storms Grotto Gossip Stone Big Fairy Spawn","OOT_GROTTOS"
"KF Storms Grotto Butterfly Fairy 1","OOT_GROTTOS"
"KF Storms Grotto Butterfly Fairy 2","OOT_GROTTOS"
"KF Storms Grotto Butterfly Fairy 3","OOT_GROTTOS"
"LW Gift from Saria","UNKNOWN"
"LW Ocarina Memory Game","OOT_LOST_WOODS"
"LW Target in Woods","OOT_LOST_WOODS"
"LW Near Shortcuts Grotto Chest","OOT_GROTTOS"
"LW Trade Cojiro","OOT_LOST_WOODS"
"LW Trade Odd Potion","OOT_LOST_WOODS"
"Deku Theater Skull Mask","OOT_GROTTOS"
"Deku Theater Mask of Truth","OOT_GROTTOS"
"LW Skull Kid","OOT_LOST_WOODS"
"LW Deku Scrub Near Bridge","OOT_LOST_WOODS"
"LW Deku Scrub Near Deku Theater Left","OOT_LOST_WOODS"
"LW Deku Scrub Near Deku Theater Right","OOT_LOST_WOODS"
"LW Deku Scrub Grotto Front","UNKNOWN"
"LW Deku Scrub Grotto Rear","UNKNOWN"
"LW GS Bean Patch Near Bridge","OOT_INSIDE_GANON_CASTLE"
"LW GS Bean Patch Near Theater","OOT_INSIDE_GANON_CASTLE"
"LW GS Above Theater","OOT_INSIDE_GANON_CASTLE"
"LW Under Boulder Blue Rupee","OOT_LOST_WOODS"
"LW Underwater Green Rupee 1","OOT_LOST_WOODS"
"LW Underwater Green Rupee 2","OOT_LOST_WOODS"
"LW Underwater Green Rupee 3","OOT_LOST_WOODS"
"LW Underwater Green Rupee 4","OOT_LOST_WOODS"
"LW Underwater Green Rupee 5","OOT_LOST_WOODS"
"LW Underwater Green Rupee 6","OOT_LOST_WOODS"
"LW Underwater Green Rupee 7","OOT_LOST_WOODS"
"LW Underwater Shortcut Green Rupee","OOT_LOST_WOODS"
"LW Near Shortcuts Grotto Beehive 1","OOT_GROTTOS"
"LW Near Shortcuts Grotto Beehive 2","OOT_GROTTOS"
"LW Scrubs Grotto Beehive","OOT_GROTTOS"
"LW Near Ocarina Game Wonderitem 1","OOT_LOST_WOODS"
"LW Near Ocarina Game Wonderitem 2","OOT_LOST_WOODS"
"LW Near Ocarina Game Wonderitem 3","OOT_LOST_WOODS"
"LW Adult Sarias Friend Skullkid Enemy","OOT_LOST_WOODS"
"LW Adult Ocarina Game Skullkid Enemy 1","OOT_LOST_WOODS"
"LW Adult Ocarina Game Skullkid Enemy 2","OOT_LOST_WOODS"
"LW Near Shortcuts Grotto Grass 1","OOT_GROTTOS"
"LW Near Shortcuts Grotto Grass 2","OOT_GROTTOS"
"LW Near Shortcuts Grotto Grass 3","OOT_GROTTOS"
"LW Near Shortcuts Grotto Grass 4","OOT_GROTTOS"
"Lost Woods Near Goron City Grass 1","OOT_LOST_WOODS"
"Lost Woods Near Goron City Grass 2","OOT_LOST_WOODS"
"Lost Woods Near Goron City Grass 3","OOT_LOST_WOODS"
"Lost Woods Boulder Grass 1","OOT_LOST_WOODS"
"Lost Woods Boulder Grass 2","OOT_LOST_WOODS"
"Lost Woods Boulder Grass 3","OOT_LOST_WOODS"
"Lost Woods Near Meadow Grass 1","OOT_LOST_WOODS"
"Lost Woods Near Meadow Grass 2","OOT_LOST_WOODS"
"Lost Woods Near Meadow Grass 3","OOT_LOST_WOODS"
"LW Gossip Stone Fairy Spawn","OOT_LOST_WOODS"
"LW Gossip Stone Big Fairy Spawn","OOT_LOST_WOODS"
"LW Near Shortcuts Grotto Gossip Stone Fairy Spawn","OOT_GROTTOS"
"LW Near Shortcuts Grotto Gossip Stone Big Fairy Spawn","OOT_GROTTOS"
"LW Song of Storms Fairy","OOT_LOST_WOODS"
"LW Child Butterfly Fairy 1","OOT_LOST_WOODS"
"LW Child Butterfly Fairy 2","OOT_LOST_WOODS"
"LW Child Butterfly Fairy 3","OOT_LOST_WOODS"
"LW Child Butterfly Fairy 4","OOT_LOST_WOODS"
"LW Child Butterfly Fairy 5","OOT_LOST_WOODS"
"LW Near Shortcuts Grotto Butterfly Fairy 1","OOT_GROTTOS"
"LW Near Shortcuts Grotto Butterfly Fairy 2","OOT_GROTTOS"
"LW Near Shortcuts Grotto Butterfly Fairy 3","OOT_GROTTOS"
"LW Scrubs Grotto Suns Song Fairy","OOT_GROTTOS"
"SFM Wolfos Grotto Chest","OOT_GROTTOS"
"SFM Deku Scrub Grotto Front","UNKNOWN"
"SFM Deku Scrub Grotto Rear","UNKNOWN"
"SFM GS","OOT_INSIDE_GANON_CASTLE"
"SFM Storms Grotto Beehive","OOT_GROTTOS"
"SFM Near Lost Woods Wonderitem","OOT_SACRED_FOREST_MEADOW"
"SFM Maze Wonderitem 1","OOT_SACRED_FOREST_MEADOW"
"SFM Maze Wonderitem 2","OOT_SACRED_FOREST_MEADOW"
"SFM Maze Wonderitem 3","OOT_SACRED_FOREST_MEADOW"
"SFM Maze Wonderitem 4","OOT_SACRED_FOREST_MEADOW"
"SFM Maze Wonderitem 5","OOT_SACRED_FOREST_MEADOW"
"SFM Child Wolfos","OOT_SACRED_FOREST_MEADOW"
"SFM Child Maze Scrub 1","OOT_SACRED_FOREST_MEADOW"
"SFM Child Maze Scrub 2","OOT_SACRED_FOREST_MEADOW"
"SFM Child Maze Scrub 3","OOT_SACRED_FOREST_MEADOW"
"SFM Child Maze Scrub 4","OOT_SACRED_FOREST_MEADOW"
"SFM Child Near Saria Scrub 1","OOT_SACRED_FOREST_MEADOW"
"SFM Child Near Saria Scrub 2","OOT_SACRED_FOREST_MEADOW"
"SFM Adult Maze Moblin 1","OOT_SACRED_FOREST_MEADOW"
"SFM Adult Maze Moblin 2","OOT_SACRED_FOREST_MEADOW"
"SFM Adult Maze Moblin 3","OOT_SACRED_FOREST_MEADOW"
"SFM Adult Maze Moblin 4","OOT_SACRED_FOREST_MEADOW"
"SFM Adult Maze Moblin 5","OOT_SACRED_FOREST_MEADOW"
"SFM Adult Smashing Moblin","OOT_SACRED_FOREST_MEADOW"
"SFM Wolfos Grotto Wolfos 1","OOT_GROTTOS"
"SFM Wolfos Grotto Wolfos 2","OOT_GROTTOS"
"SFM Maze Gossip Stone (Lower) Fairy Spawn","OOT_SACRED_FOREST_MEADOW"
"SFM Maze Gossip Stone (Lower) Big Fairy Spawn","OOT_SACRED_FOREST_MEADOW"
"SFM Maze Gossip Stone (Upper) Fairy Spawn","OOT_SACRED_FOREST_MEADOW"
"SFM Maze Gossip Stone (Upper) Big Fairy Spawn","OOT_SACRED_FOREST_MEADOW"
"SFM Saria Gossip Stone Fairy Spawn","OOT_SACRED_FOREST_MEADOW"
"SFM Saria Gossip Stone Big Fairy Spawn","OOT_SACRED_FOREST_MEADOW"
"SFM Fairy Fountain Fairy 1","OOT_FAIRY_FOUNTAIN"
"SFM Fairy Fountain Fairy 2","OOT_FAIRY_FOUNTAIN"
"SFM Fairy Fountain Fairy 3","OOT_FAIRY_FOUNTAIN"
"SFM Fairy Fountain Fairy 4","OOT_FAIRY_FOUNTAIN"
"SFM Fairy Fountain Fairy 5","OOT_FAIRY_FOUNTAIN"
"SFM Fairy Fountain Fairy 6","OOT_FAIRY_FOUNTAIN"
"SFM Fairy Fountain Fairy 7","OOT_FAIRY_FOUNTAIN"
"SFM Fairy Fountain Fairy 8","OOT_FAIRY_FOUNTAIN"
"HF Ocarina of Time Item","OOT_HYRULE_FIELD"
"HF Near Market Grotto Chest","OOT_GROTTOS"
"HF Tektite Grotto Freestanding PoH","OOT_GROTTOS"
"HF Southeast Grotto Chest","OOT_GROTTOS"
"HF Open Grotto Chest","OOT_GROTTOS"
"HF Deku Scrub Grotto","UNKNOWN"
"HF Cow Grotto Cow","OOT_GROTTOS"
"HF GS Cow Grotto","OOT_GANON_TOWER"
"HF GS Near Kak Grotto","OOT_GANON_TOWER"
"HF Cow Grotto Pot 1","OOT_GROTTOS"
"HF Cow Grotto Pot 2","OOT_GROTTOS"
"HF Near Market Grotto Beehive 1","OOT_GROTTOS"
"HF Near Market Grotto Beehive 2","OOT_GROTTOS"
"HF Open Grotto Beehive 1","OOT_GROTTOS"
"HF Open Grotto Beehive 2","OOT_GROTTOS"
"HF Southeast Grotto Beehive 1","OOT_GROTTOS"
"HF Southeast Grotto Beehive 2","OOT_GROTTOS"
"HF Inside Fence Grotto Beehive","OOT_GROTTOS"
"HF Near Market Grotto Grass 1","OOT_GROTTOS"
"HF Near Market Grotto Grass 2","OOT_GROTTOS"
"HF Near Market Grotto Grass 3","OOT_GROTTOS"
"HF Near Market Grotto Grass 4","OOT_GROTTOS"
"HF Open Grotto Grass 1","OOT_GROTTOS"
"HF Open Grotto Grass 2","OOT_GROTTOS"
"HF Open Grotto Grass 3","OOT_GROTTOS"
"HF Open Grotto Grass 4","OOT_GROTTOS"
"HF Southeast Grotto Grass 1","OOT_GROTTOS"
"HF Southeast Grotto Grass 2","OOT_GROTTOS"
"HF Southeast Grotto Grass 3","OOT_GROTTOS"
"HF Southeast Grotto Grass 4","OOT_GROTTOS"
"HF Child Above Drawbridge Wonderitem 1","OOT_HYRULE_FIELD"
"HF Child Above Drawbridge Wonderitem 2","OOT_HYRULE_FIELD"
"HF Child Above Drawbridge Wonderitem 3","OOT_HYRULE_FIELD"
"HF Cow Grotto Skulltula","OOT_GROTTOS"
"HF Tektite Grotto Tektite","OOT_GROTTOS"
"HF Near Kak Grotto Skulltula","OOT_GROTTOS"
"HF Child Near Fairy Grotto Peahat","OOT_HYRULE_FIELD"
"HF Child Near Kokiri Forest Peahat","OOT_HYRULE_FIELD"
"HF Child South Field Peahat 1","OOT_HYRULE_FIELD"
"HF Child South Field Peahat 2","OOT_HYRULE_FIELD"
"HF Child South Field Peahat 3","OOT_HYRULE_FIELD"
"HF Child South Field Flying Peahat","OOT_HYRULE_FIELD"
"HF Child Near Valley Flying Peahat","OOT_HYRULE_FIELD"
"HF Cow Grotto Grass 1","OOT_GROTTOS"
"HF Cow Grotto Grass 2","OOT_GROTTOS"
"HF South Grass Patch 1","OOT_HYRULE_FIELD"
"HF South Grass Patch 2","OOT_HYRULE_FIELD"
"HF South Grass Patch 3","OOT_HYRULE_FIELD"
"HF South Grass Patch 4","OOT_HYRULE_FIELD"
"HF South Grass Patch 5","OOT_HYRULE_FIELD"
"HF South Grass Patch 6","OOT_HYRULE_FIELD"
"HF South Grass Patch 7","OOT_HYRULE_FIELD"
"HF South Grass Patch 8","OOT_HYRULE_FIELD"
"HF South Grass Patch 9","OOT_HYRULE_FIELD"
"HF South Grass Patch 10","OOT_HYRULE_FIELD"
"HF South Grass Patch 11","OOT_HYRULE_FIELD"
"HF South Grass Patch 12","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 1","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 2","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 3","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 4","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 5","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 6","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 7","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 8","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 9","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 10","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 11","OOT_HYRULE_FIELD"
"HF South 2 Grass Patch 12","OOT_HYRULE_FIELD"
"HF Central Grass Patch 1","OOT_HYRULE_FIELD"
"HF Central Grass Patch 2","OOT_HYRULE_FIELD"
"HF Central Grass Patch 3","OOT_HYRULE_FIELD"
"HF Central Grass Patch 4","OOT_HYRULE_FIELD"
"HF Central Grass Patch 5","OOT_HYRULE_FIELD"
"HF Central Grass Patch 6","OOT_HYRULE_FIELD"
"HF Central Grass Patch 7","OOT_HYRULE_FIELD"
"HF Central Grass Patch 8","OOT_HYRULE_FIELD"
"HF Central Grass Patch 9","OOT_HYRULE_FIELD"
"HF Central Grass Patch 10","OOT_HYRULE_FIELD"
"HF Central Grass Patch 11","OOT_HYRULE_FIELD"
"HF Central Grass Patch 12","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 1","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 2","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 3","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 4","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 5","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 6","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 7","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 8","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 9","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 10","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 11","OOT_HYRULE_FIELD"
"HF Near KF Grass Patch 12","OOT_HYRULE_FIELD"
"HF Song of Storms Fairy","OOT_HYRULE_FIELD"
"HF Fairy Fountain Fairy 1","OOT_FAIRY_FOUNTAIN"
"HF Fairy Fountain Fairy 2","OOT_FAIRY_FOUNTAIN"
"HF Fairy Fountain Fairy 3","OOT_FAIRY_FOUNTAIN"
"HF Fairy Fountain Fairy 4","OOT_FAIRY_FOUNTAIN"
"HF Fairy Fountain Fairy 5","OOT_FAIRY_FOUNTAIN"
"HF Fairy Fountain Fairy 6","OOT_FAIRY_FOUNTAIN"
"HF Fairy Fountain Fairy 7","OOT_FAIRY_FOUNTAIN"
"HF Fairy Fountain Fairy 8","OOT_FAIRY_FOUNTAIN"
"HF Near Market Grotto Butterfly Fairy 1","OOT_GROTTOS"
"HF Near Market Grotto Butterfly Fairy 2","OOT_GROTTOS"
"HF Near Market Grotto Butterfly Fairy 3","OOT_GROTTOS"
"HF Southeast Grotto Butterfly Fairy 1","OOT_GROTTOS"
"HF Southeast Grotto Butterfly Fairy 2","OOT_GROTTOS"
"HF Southeast Grotto Butterfly Fairy 3","OOT_GROTTOS"
"HF Open Grotto Butterfly Fairy 1","OOT_GROTTOS"
"HF Open Grotto Butterfly Fairy 2","OOT_GROTTOS"
"HF Open Grotto Butterfly Fairy 3","OOT_GROTTOS"
"HF Deku Scrub Grotto Song of Storms Fairy","OOT_GROTTOS"
"HF Near Market Grotto Gossip Stone Fairy Spawn","OOT_GROTTOS"
"HF Near Market Grotto Gossip Stone Big Fairy Spawn","OOT_GROTTOS"
"HF Southeast Grotto Gossip Stone Fairy Spawn","OOT_GROTTOS"
"HF Southeast Grotto Gossip Stone Big Fairy Spawn","OOT_GROTTOS"
"HF Open Grotto Gossip Stone Fairy Spawn","OOT_GROTTOS"
"HF Open Grotto Gossip Stone Big Fairy Spawn","OOT_GROTTOS"
"HF Cow Grotto Gossip Stone Fairy Spawn","OOT_GROTTOS"
"HF Cow Grotto Gossip Stone Big Fairy Spawn","OOT_GROTTOS"
"Market Shooting Gallery Reward","OOT_SHOOTING_GALLERY"
"Market Bombchu Bowling First Prize","OOT_BOMBCHU_BOWLING_ALLEY"
"Market Bombchu Bowling Second Prize","OOT_BOMBCHU_BOWLING_ALLEY"
"Market Lost Dog","OOT_BACK_ALLEY_HOUSE2"
"Market Treasure Chest Game Salesman","OOT_TREASURE_SHOP"
"Market Treasure Chest Game Room 1 Bottom","OOT_TREASURE_SHOP"
"Market Treasure Chest Game Room 1 Top","OOT_TREASURE_SHOP"
"Market Treasure Chest Game Room 2 Bottom","OOT_TREASURE_SHOP"
"Market Treasure Chest Game Room 2 Top","OOT_TREASURE_SHOP"
"Market Treasure Chest Game Room 3 Bottom","OOT_TREASURE_SHOP"
"Market Treasure Chest Game Room 3 Top","OOT_TREASURE_SHOP"
"Market Treasure Chest Game Room 4 Bottom","OOT_TREASURE_SHOP"
"Market Treasure Chest Game Room 4 Top","OOT_TREASURE_SHOP"
"Market Treasure Chest Game Room 5 Bottom","OOT_TREASURE_SHOP"
"Market Treasure Chest Game Room 5 Top","OOT_TREASURE_SHOP"
"Market Treasure Chest Game Reward","OOT_TREASURE_SHOP"
"Market 10 Big Poes","OOT_GUARD_HOUSE"
"Market GS Guard House","OOT_GANON_TOWER_COLLAPSING"
"Market Mask Shop Item 1","OOT_HAPPY_MASK_SHOP"
"Market Mask Shop Item 2","OOT_HAPPY_MASK_SHOP"
"Market Mask Shop Item 3","OOT_HAPPY_MASK_SHOP"
"Market Mask Shop Item 4","OOT_HAPPY_MASK_SHOP"
"Market Mask Shop Item 5","OOT_HAPPY_MASK_SHOP"
"Market Mask Shop Item 6","OOT_HAPPY_MASK_SHOP"
"Market Mask Shop Item 7","OOT_HAPPY_MASK_SHOP"
"Market Mask Shop Item 8","OOT_HAPPY_MASK_SHOP"
"Market Bazaar Item 1","OOT_BAZAAR"
"Market Bazaar Item 2","OOT_BAZAAR"
"Market Bazaar Item 3","OOT_BAZAAR"
"Market Bazaar Item 4","OOT_BAZAAR"
"Market Bazaar Item 5","OOT_BAZAAR"
"Market Bazaar Item 6","OOT_BAZAAR"
"Market Bazaar Item 7","OOT_BAZAAR"
"Market Bazaar Item 8","OOT_BAZAAR"
"Market Potion Shop Item 1","OOT_MARKET_POTION_SHOP"
"Market Potion Shop Item 2","OOT_MARKET_POTION_SHOP"
"Market Potion Shop Item 3","OOT_MARKET_POTION_SHOP"
"Market Potion Shop Item 4","OOT_MARKET_POTION_SHOP"
"Market Potion Shop Item 5","OOT_MARKET_POTION_SHOP"
"Market Potion Shop Item 6","OOT_MARKET_POTION_SHOP"
"Market Potion Shop Item 7","OOT_MARKET_POTION_SHOP"
"Market Potion Shop Item 8","OOT_MARKET_POTION_SHOP"
"Market Bombchu Shop Item 1","OOT_BOMBCHU_SHOP"
"Market Bombchu Shop Item 2","OOT_BOMBCHU_SHOP"
"Market Bombchu Shop Item 3","OOT_BOMBCHU_SHOP"
"Market Bombchu Shop Item 4","OOT_BOMBCHU_SHOP"
"Market Bombchu Shop Item 5","OOT_BOMBCHU_SHOP"
"Market Bombchu Shop Item 6","OOT_BOMBCHU_SHOP"
"Market Bombchu Shop Item 7","OOT_BOMBCHU_SHOP"
"Market Bombchu Shop Item 8","OOT_BOMBCHU_SHOP"
"Market Guard House Child Pot 1","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 2","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 3","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 4","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 5","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 6","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 7","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 8","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 9","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 10","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 11","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 12","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 13","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 14","OOT_GUARD_HOUSE"
